,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,Animation,Mystery,Romance,Fantasy,Family,Talk-Show,Sci-Fi,\N,Western,Film-Noir,Documentary,Adventure,Biography,Adult,Short,War,Crime,News,Drama,Reality-TV,Horror,Musical,Music,History,Comedy,Game-Show,Sport,Thriller,Action
14402,tt0014624,movie,A Woman of Paris: A Drama of Fate,A Woman of Paris: A Drama of Fate,0,1923,\N,78,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14414,tt0014636,movie,Zaza,Zaza,0,1923,\N,84,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14433,tt0014655,movie,The Alaskan,The Alaskan,0,1924,\N,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14480,tt0014702,movie,Beau Brummel,Beau Brummel,0,1924,\N,135,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
14537,tt0014759,movie,Captain Blood,Captain Blood,0,1924,\N,110,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14557,tt0014779,movie,Classmates,Classmates,0,1924,\N,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14576,tt0014798,movie,The Confidence Man,The Confidence Man,0,1924,\N,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
14604,tt0014826,movie,Dante's Inferno,Dante's Inferno,0,1924,\N,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
14632,tt0014854,movie,Dorothy Vernon of Haddon Hall,Dorothy Vernon of Haddon Hall,0,1924,\N,135,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
14659,tt0014881,movie,Feet of Clay,Feet of Clay,0,1924,\N,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14721,tt0014945,movie,Girl Shy,Girl Shy,0,1924,\N,87,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
14732,tt0014956,movie,The Great White Way,The Great White Way,0,1924,\N,100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
14757,tt0014981,movie,Her Love Story,Her Love Story,0,1924,\N,70,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14767,tt0014991,movie,His Hour,His Hour,0,1924,\N,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14780,tt0015004,movie,The Humming Bird,The Humming Bird,0,1924,\N,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14792,tt0015016,movie,The Iron Horse,The Iron Horse,0,1924,\N,150,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
14798,tt0015022,movie,Janice Meredith,Janice Meredith,0,1924,\N,153,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
14847,tt0015071,movie,Lilies of the Field,Lilies of the Field,0,1924,\N,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14881,tt0015105,movie,Madonna of the Streets,Madonna of the Streets,0,1924,\N,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14895,tt0015119,movie,The Marriage Circle,The Marriage Circle,0,1924,\N,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
14905,tt0015130,movie,Men,Men,0,1924,\N,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14920,tt0015145,movie,Monsieur Beaucaire,Monsieur Beaucaire,0,1924,\N,106,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14937,tt0015163,movie,The Navigator,The Navigator,0,1924,\N,59,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
14954,tt0015180,movie,North of 36,North of 36,0,1924,\N,\N,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14997,tt0015224,movie,Peter Pan,Peter Pan,0,1924,\N,105,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15002,tt0015229,movie,Pied Piper Malone,Pied Piper Malone,0,1924,\N,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
15026,tt0015253,movie,Quo Vadis?,Quo Vadis?,0,1924,\N,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
15062,tt0015289,movie,Romola,Romola,0,1924,\N,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
